,0,1,label
1,-101.95649168107141,19.57521661633558,SolarArrays
2,-90.24903618877764,59.38732145726226,SolarArrays
3,-82.22273784488499,80.8341645990813,SolarArrays
4,-75.50193724420879,94.47177123820973,SolarArrays
5,-94.88939627171328,46.8567209369221,SolarArrays
6,-88.66010228605353,65.62526172501578,SolarArrays
7,-82.41576623951411,81.45129316146853,SolarArrays
8,-78.00879776692693,90.82086597759712,SolarArrays
9,-94.72043799003845,46.952301131852494,SolarArrays
10,-88.57088649532034,65.66836813323107,SolarArrays
11,-82.37478204588461,81.4660892898487,SolarArrays
12,-77.99005620362419,90.82371156869317,SolarArrays
13,-101.38098982552705,19.905726655104502,SolarArrays
14,-90.00399808224986,59.52544732940902,SolarArrays
15,-82.11790633127464,80.89983749594501,SolarArrays
16,-75.46221679436405,94.49118511196724,SolarArrays
17,-66.19689399572661,107.17602191288387,SolarArrays
18,-67.20326955231943,106.12486253240968,SolarArrays
19,-69.38604917753997,103.55689780799275,SolarArrays
20,-73.40617642370796,97.91430749337655,SolarArrays
21,-66.15135502366695,107.23633416721344,SolarArrays
22,-67.04808785816516,106.35041905061507,SolarArrays
23,-68.75193013119949,104.48862022590748,SolarArrays
24,-70.75934967888938,102.0247298801603,SolarArrays
25,-66.15049461503816,107.23355214134915,SolarArrays
26,-67.04695483810178,106.34151762598191,SolarArrays
27,-68.74802368628457,104.4880208496325,SolarArrays
28,-70.75207301048783,102.02280794167825,SolarArrays
29,-66.1949996769549,107.1667731024067,SolarArrays
30,-67.19890656221682,106.11913089472375,SolarArrays
31,-69.37626374615164,103.54504673003828,SolarArrays
32,-73.38035056415458,97.918478038981,SolarArrays
33,-5.1781675636235605,42.20825543378925,Prop
34,-4.887069062555781,42.65140572487195,Prop
35,-5.30008419206689,42.106995724299736,Prop
36,-4.912691937317732,42.73201481369574,Prop
37,-4.8431889189523645,42.826664825782586,Prop
38,-5.167422697455834,42.537205034926046,Prop
39,-5.271177209194775,42.186796678753865,Prop
40,-5.102239601551162,42.566606756843555,Prop
41,-5.844050654172406,41.833111341813776,Prop
42,-5.753966576891628,41.27706706302217,AdditionalPCB
43,-5.831430004671688,41.1994502806898,AdditionalPCB
44,-5.833118522086693,41.19353858697656,AdditionalPCB
45,-5.816664815172032,41.23008076767189,AdditionalPCB
46,-5.87772322667422,41.172599224008025,AdditionalPCB
47,-5.950568571868303,41.09083876038687,AdditionalPCB
48,-5.804516859341447,41.255770470175264,AdditionalPCB
49,-5.920455377222936,41.14787159678781,AdditionalPCB
50,-6.041119330591357,41.07911605049992,AdditionalPCB
51,-6.339618958112055,40.256484050970926,TetherPCB
52,-6.342323774614044,40.25223935291592,TetherPCB
53,-6.341576665888226,40.25361021894031,TetherPCB
54,-6.34229121501977,40.25223452251845,TetherPCB
55,-6.342276564409303,40.252341992279014,TetherPCB
56,-6.342299209140947,40.25230601151043,TetherPCB
57,-6.340706290289631,40.25515969592908,TetherPCB
58,-6.342294965927977,40.252311937626246,TetherPCB
59,-6.341968575446799,40.25323369865407,TetherPCB
60,0.8880113484996741,44.74353713574794,obc
61,0.9896164290301499,44.71865909519198,obc
62,0.7345582509884139,44.48938939539386,obc
63,0.9514082560082784,44.75211925855939,obc
64,1.0679440760797547,44.830270025968616,obc
65,0.8549449771237505,44.62314366592193,obc
66,0.5510052522618025,44.532582095013254,obc
67,0.8790292232822594,44.709813641382766,obc
68,0.49981765056821814,44.407153816203106,obc
69,-111.22332522597924,-20.924035457238944,Box:outer
70,-111.56356475322818,-22.506790474846014,Box:outer
71,-111.82459712804575,-23.759159016387116,Box:outer
72,-111.96290037543946,-24.509834124121255,Box:outer
73,-111.68129980341953,-22.998362663845143,Box:outer
74,-111.85361584159676,-23.990839162263143,Box:outer
75,-112.0157843464466,-24.838152224398982,Box:outer
76,-112.1271295718152,-25.382606254155007,Box:outer
77,-111.95101717719874,-24.31826109137498,Box:outer
78,-112.06539838659401,-25.04634563508526,Box:outer
79,-112.17062385550841,-25.658018527535774,Box:outer
80,-112.24122514112648,-26.056260871477264,Box:outer
81,-112.06046245570371,-25.04921796014088,Box:outer
82,-112.19825970537713,-25.65389004912123,Box:outer
83,-112.27291261503035,-26.13510386927024,Box:outer
84,-112.26473221060263,-26.398770138303462,Box:outer
85,-110.34591706920367,-13.736845151823559,Box:outer
86,-111.15820554079136,-17.171070155497915,Box:outer
87,-111.63469175953986,-19.94393646422563,Box:outer
88,-111.90836093669176,-21.620593557262794,Box:outer
89,-111.04341002068588,-17.879772177986126,Box:outer
90,-111.31110965288192,-19.17144717081655,Box:outer
91,-111.62920500920359,-20.858117387447294,Box:outer
92,-111.87978259094675,-22.226176750320207,Box:outer
93,-111.07253397441178,-19.053230982334213,Box:outer
94,-111.33718986077466,-20.283343718486776,Box:outer
95,-111.64023925844768,-21.765724670896986,Box:outer
96,-111.8802384913939,-23.024034628957196,Box:outer
97,-110.44794553706404,-17.278248569732597,Box:outer
98,-111.25164436677827,-20.69308184983069,Box:outer
99,-111.66292855173668,-22.563708572942346,Box:outer
100,-111.90164631005501,-23.7614341653821,Box:outer
101,-112.07064037072354,-22.50145687217028,Box:outer
102,-112.2183780446289,-23.072337210890822,Box:outer
103,-112.31858119589145,-23.88472104424224,Box:outer
104,-112.36325316009578,-24.71179748901602,Box:outer
105,-112.05261738127629,-23.12306838546948,Box:outer
106,-112.22423625481468,-23.408801583946428,Box:outer
107,-112.34291103389967,-24.25064253056584,Box:outer
108,-112.43998047981535,-25.575098854782823,Box:outer
109,-112.04977941155693,-24.02981401015282,Box:outer
