,0,T_ref,T_res
1,Panel_inner: back,85.99804111205441,86.34701302961969
2,Panel_inner:solar_cells,86.01273241328992,86.36148478865618
3,Panel_inner: back,79.10984842738708,79.28433581488213
4,Panel_inner:solar_cells,79.10912944186798,79.28335885995432
5,Panel_inner: back,75.58250166564864,75.60998399564568
6,Panel_inner:solar_cells,75.58252368295605,75.6098316438347
7,Panel_inner: back,73.5741504559537,73.48576513588239
8,Panel_inner:solar_cells,73.57297337213767,73.48434688158733
9,Panel_inner: back,81.22555090210739,81.53193882081234
10,Panel_inner:solar_cells,81.22435495617971,81.53030464419447
11,Panel_inner: back,78.04161224499666,78.2136741041835
12,Panel_inner:solar_cells,78.04110603823773,78.2128830054167
13,Panel_inner: back,75.43556488351481,75.4735515946362
14,Panel_inner:solar_cells,75.43561461276313,75.47340912023446
15,Panel_inner: back,73.96276307234378,73.91044466505195
16,Panel_inner:solar_cells,73.96312184742618,73.91066360270173
17,Panel_inner: back,81.22143666233654,81.52907997493878
18,Panel_inner:solar_cells,81.22024101254488,81.52744849387904
19,Panel_inner: back,78.03937791664016,78.21178169303795
20,Panel_inner:solar_cells,78.03887269568169,78.21099588527636
21,Panel_inner: back,75.43452700166165,75.47218556838158
22,Panel_inner:solar_cells,75.43457718378875,75.47204692845327
23,Panel_inner: back,73.96215974437001,73.90963514517063
24,Panel_inner:solar_cells,73.96251896359928,73.909855988858
25,Panel_inner: back,85.98290982609377,86.33111835984067
26,Panel_inner:solar_cells,85.99757876963093,86.34555527920668
27,Panel_inner: back,79.10372628462704,79.27763307361124
28,Panel_inner:solar_cells,79.10300923630683,79.27665358929153
29,Panel_inner: back,75.58003281147569,75.60847788060153
30,Panel_inner:solar_cells,75.5800550872624,75.6083217699371
31,Panel_inner: back,73.57285543045559,73.4850582984484
32,Panel_inner:solar_cells,73.57167951986565,73.4836389947123
33,Panel_outer:solar_cells,69.63629783326229,69.24376811197732
34,Panel_outer:back,69.63506539820816,69.24256997143891
35,Panel_outer:solar_cells,69.7700548328794,69.39185548881727
36,Panel_outer:back,69.76884927604584,69.39068866963612
37,Panel_outer:solar_cells,70.08490515518184,69.73759356911069
38,Panel_outer:back,70.08376287019911,69.73650624959345
39,Panel_outer:solar_cells,70.74010337201788,70.44651191727559
40,Panel_outer:back,70.73747561795244,70.44383570011826
41,Panel_outer:solar_cells,69.62947292316431,69.23649593055222
42,Panel_outer:back,69.62823908602837,69.23529614573084
43,Panel_outer:solar_cells,69.745688205068,69.36619586715142
44,Panel_outer:back,69.74447834382022,69.36502786170382
45,Panel_outer:solar_cells,69.97948554248711,69.62408696314179
46,Panel_outer:back,69.97832310339771,69.62297533380638
47,Panel_outer:solar_cells,70.27949761444303,69.95286019712302
48,Panel_outer:back,70.27839614676583,69.95182300563187
49,Panel_outer:solar_cells,69.62938161864332,69.2362696748828
50,Panel_outer:back,69.6281479227726,69.2350702985247
51,Panel_outer:solar_cells,69.7455302840703,69.3655223782888
52,Panel_outer:back,69.74432001989823,69.36435145263863
53,Panel_outer:solar_cells,69.97940885759795,69.62384272805116
54,Panel_outer:back,69.9782467271852,69.62273245192432
55,Panel_outer:solar_cells,70.27938090437465,69.95236051088517
56,Panel_outer:back,70.2782794415757,69.95132228055843
57,Panel_outer:solar_cells,69.63593691189698,69.24306290201429
58,Panel_outer:back,69.63470395700784,69.24186380414187
59,Panel_outer:solar_cells,69.76972842745728,69.39121965392417
60,Panel_outer:back,69.76852264074881,69.39005341310911
61,Panel_outer:solar_cells,70.08450452360114,69.73627127677395
62,Panel_outer:back,70.08336161870187,69.73518106495055
63,Panel_outer:solar_cells,70.73967774932862,70.44546720364542
64,Panel_outer:back,70.73705040053726,70.4427897818316
65,Prop,104.7704907256753,100.9092946880694
66,Prop,105.09118611903179,101.22350271714782
67,Prop,104.64313294069771,100.76828445421671
68,Prop,105.11762179913259,101.25063531906375
69,Prop,105.2080898837376,101.33144085141521
70,Prop,104.9452274999738,101.0586465535626
71,Prop,104.71396334890301,100.83916153030009
72,Prop,105.044383254551,101.15566261622735
73,Prop,104.57279668187749,100.66547090997386
74,AdditionalPCB,103.8409469966272,99.86884421318229
75,AdditionalPCB,103.76744199509321,99.78620618364545
76,AdditionalPCB,103.7282879447692,99.7466643403285
77,AdditionalPCB,103.80914668237119,99.82723527627297
78,AdditionalPCB,103.74919684064591,99.75689568652422
79,AdditionalPCB,103.6375398469208,99.6385124463423
80,AdditionalPCB,103.8172052964452,99.83405426497404
81,AdditionalPCB,103.75187330626801,99.74936939900209
82,AdditionalPCB,103.70196118556579,99.68857505098612
83,TetherPCB,102.75469922433341,98.64983714198172
84,TetherPCB,102.7491294120919,98.64351091411379
85,TetherPCB,102.75082760564649,98.64543358350585
86,TetherPCB,102.7493868267911,98.64380835192173
87,TetherPCB,102.7492314473745,98.64359548556303
88,TetherPCB,102.74920092137091,98.64355989460375
89,TetherPCB,102.7531601840229,98.64799357228549
90,TetherPCB,102.7492247451523,98.64358232735526
91,TetherPCB,102.75054170010179,98.6450043234542
92,obc,106.00573406298321,102.77272032706799
93,obc,105.7388628641663,102.44441743806175
94,obc,105.61060582503559,102.35217690828
95,obc,105.95811673950041,102.66517100997868
96,obc,105.88741428185509,102.57276690395207
97,obc,105.6331311246678,102.31464236638692
98,obc,106.076902622451,102.8167221720825
99,obc,105.9754832126711,102.65265001265129
100,obc,105.82999830401741,102.50549539037542
101,Box:outer,115.0565270920784,115.72844072162485
102,Box:outer,115.62996545873301,116.25072036942845
103,Box:outer,115.9914016090953,116.56379732057576
104,Box:outer,116.1080478052598,116.63543695048793
105,Box:outer,114.3477736481489,115.03317437677771
106,Box:outer,114.6919190121575,115.31498044683877
107,Box:outer,114.9639429112417,115.53887340457413
108,Box:outer,115.1392058131064,115.67777154520371
109,Box:outer,113.6682639107671,114.34264458582709
110,Box:outer,113.91886766815651,114.53713587922346
111,Box:outer,114.1279949583827,114.7008164268546
112,Box:outer,114.2768010157619,114.81387536847473
113,Box:outer,113.09380054417281,113.74048289755069
114,Box:outer,113.2756251679862,113.88562054917264
115,Box:outer,113.44197850827459,114.0104019295814
116,Box:outer,113.56655966854821,114.09168021337177
117,Box:outer,115.7068149493261,116.39131343911356
118,Box:outer,117.1067932609733,117.73110849554314
119,Box:outer,117.6740263883947,118.23991252910929
120,Box:outer,117.4389755323627,117.96742711000951
121,Box:outer,116.64496560217908,117.3534917182925
122,Box:outer,117.7726500940921,118.40353929492028
123,Box:outer,118.2324797309429,118.8065324509729
124,Box:outer,117.9529073813229,118.49040925515874
125,Box:outer,116.6204835097394,117.32886551497734
126,Box:outer,117.7198508077236,118.35096267013648
127,Box:outer,118.16192696005501,118.73813720427904
128,Box:outer,117.893309941169,118.43386648630161
129,Box:outer,115.64556610154992,116.32846478365025
130,Box:outer,116.93508213032301,117.55808206270478
131,Box:outer,117.4268164186517,118.00043892521091
132,Box:outer,117.2766450529897,117.8150013648501
133,Box:outer,116.4711588170491,116.9879826212067
134,Box:outer,115.38133350939509,115.89460916540895
135,Box:outer,114.3977752026908,114.90849996251296
136,Box:outer,113.58321978114158,114.09600221416531
137,Box:outer,116.882065092104,117.40576019936583
138,Box:outer,115.48657845408479,115.99937955147544
139,Box:outer,114.3780006660828,114.8857362810399
140,Box:outer,113.39299473716429,113.90286829937708
141,Box:outer,116.81693804721908,117.34485986666164
142,Box:outer,115.43514973402321,115.95776664718949
143,Box:outer,114.35559701163089,114.87354414654459
144,Box:outer,113.41309167773821,113.92770872455202
145,Box:outer,116.34469300085958,116.87291054169276
146,Box:outer,115.3099041017122,115.83580549582723
147,Box:outer,114.3680072338061,114.89149745595853
148,Box:outer,113.60725939194549,114.13157614577989
149,Box:outer,113.0763710231714,113.60898425224923
150,Box:outer,112.74613812223129,113.31261490047888
151,Box:outer,112.5619386551309,113.17702543421234
152,Box:outer,112.58407199781941,113.24654961117938
153,Box:outer,112.8701234919625,113.40896246569446
154,Box:outer,112.5351833676835,113.1086602504331
155,Box:outer,112.3808991046035,113.00029053876466
