,0,T_ref,T_res,abs
49,PCB,-52.28009897037714,-52.944751920353525,0.6646529499763858
50,PCB,-52.09499417724908,-52.75695083866063,0.6619566614115513
51,PCB,-52.10815936124828,-52.767886769673254,0.6597274084249705
52,PCB,-52.5973565611784,-53.26349839173426,0.6661418305558584
53,PCB,-52.24177042266626,-52.903771759089324,0.6620013364230672
54,PCB,-52.34671129855366,-53.00647780071185,0.6597665021581918
55,PCB,-48.92003740014658,-49.58539497058939,0.6653575704428079
56,PCB,-48.674308591615706,-49.338282851469984,0.6639742598542782
57,PCB,-48.8784558621947,-49.54236542406724,0.6639095618725435
58,PCB,-48.70613498156649,-49.3703830881916,0.6642481066251094
59,PCB,-48.59075997050014,-49.25434368468041,0.6635837141802696
60,PCB,-48.66680347210351,-49.33016376578965,0.6633602936861394
61,PCB,-48.95831250763675,-49.623241338265046,0.6649288306282983
62,PCB,-48.697797500785754,-49.36151529616197,0.6637177953762148
63,PCB,-48.900753020044654,-49.56452133741794,0.6637683173732896
64,PCB,-47.8318310001992,-48.50522886224974,0.6733978620505354
65,PCB,-47.592398160858146,-48.265047901826335,0.6726497409681897
66,PCB,-47.81387478578338,-48.48705464732521,0.6731798615418256
67,PCB,-47.604268553220216,-48.2768671589335,0.6725986057132829
68,PCB,-47.50140543941075,-48.17371109222819,0.6723056528174354
69,PCB,-47.58988619998897,-48.26234647343219,0.672460273443221
70,PCB,-47.845470230327464,-48.51864296957402,0.673172739246553
71,PCB,-47.602379679030406,-48.27484382986694,0.6724641508365323
72,PCB,-47.8256441187547,-48.498635034640955,0.6729909158862526
73,PCB,-49.20815179372989,-49.89753375650787,0.6893819627779791
74,PCB,-48.83663753105643,-49.52552620788404,0.6888886768276095
75,PCB,-49.19621246930303,-49.88548339301883,0.689270923715803
76,PCB,-48.85000874767347,-49.538741311214835,0.6887325635413646
77,PCB,-48.69866585820512,-49.3872059289628,0.6885400707576821
78,PCB,-48.83827207875666,-49.52696880444606,0.6886967256893968
79,PCB,-49.226865207067156,-49.915901265671664,0.6890360586045077
80,PCB,-48.850677731714576,-49.539283240234795,0.6886055085202187
81,PCB,-49.21054623319313,-49.89952289481636,0.6889766616232293
82,Battery,-59.61145521063954,-60.34985762774207,0.7384024171025274
83,Battery,-56.68440777220334,-57.432638670678784,0.7482308984754411
84,Battery,-57.495866775115616,-58.2231247579698,0.7272579828541836
85,Battery,-56.527688687239504,-57.24168473675252,0.713996049513014
86,Battery,-58.35058240811918,-59.09865739406328,0.7480749859441005
87,Battery,-54.538119856289775,-55.24840722712099,0.7102873708312174
88,Battery,-59.6706143963174,-60.399200767957296,0.7285863716398993
89,Battery,-56.37744786178359,-57.08757489190293,0.7101270301193452
90,Battery,-57.56225099334522,-58.277307532468,0.7150565391227772
91,Battery,-55.669959835117254,-56.38378234113719,0.7138225060199375
92,Battery,-57.702407149442365,-58.43557937485002,0.7331722254076567
93,Battery,-54.51794797315472,-55.227637037424074,0.7096890642693552
94,Battery,-60.176995305505535,-60.89933581241817,0.7223405069126372
95,Battery,-57.923656643722545,-58.638367613428755,0.7147109697062106
96,Battery,-58.29598714511317,-59.01162345707118,0.7156363119580078
97,Battery,-55.55294968364524,-56.2614814960298,0.7085318123845639
98,Battery,-58.22051068121255,-58.934988314177616,0.714477632965064
99,Battery,-54.557345724830036,-55.26628791150486,0.7089421866748253
100,SolarArray,21.57879788184607,19.035830985762686,2.542966896083385
101,SolarArray,28.39733903204268,25.873017183792342,2.524321848250338
102,SolarArray,29.517925285034718,27.007836501999805,2.510088783034913
103,SolarArray,30.60520690755874,28.164881088987727,2.4403258185710115
104,SolarArray,32.734478137696556,30.165468640669246,2.5690094970273094
105,SolarArray,32.36400330160967,29.89104647391406,2.4729568276956115
106,SolarArray,33.89943131026422,31.368567940230832,2.530863370033387
107,SolarArray,33.22936850185721,30.77457617037561,2.454792331481599
108,SolarArray,34.15168512256793,31.645006845883074,2.506678276684859
109,SolarArray,33.44435903116965,30.99767534573033,2.446683685439318
110,SolarArray,33.64737937743541,31.204224099934663,2.4431552775007503
111,SolarArray,33.07567793363046,30.63864439853586,2.4370335350945993
112,SolarArray,32.26199597739753,29.843835173397053,2.418160804000479
113,SolarArray,32.08163219241897,29.683173541355984,2.398458651062988
114,SolarArray,29.03101038150305,26.524926002934023,2.506084378569028
115,SolarArray,30.307400705651897,27.83151513650239,2.475885569149508
116,SolarArray,20.67073875976905,18.227292461109244,2.443446298659808
117,SolarArray,27.96379516559506,25.40152837389246,2.562266791702598
118,SP_Xminus,-59.95773881900232,-60.83636657211625,0.8786277531139248
119,SP_Xminus,-59.95812153397685,-60.83674315573924,0.8786216217623917
120,SP_Xminus,-60.297580780034245,-61.18450534095888,0.8869245609246335
121,SP_Xminus,-60.29796125078776,-61.18487962161166,0.8869183708238992
122,SP_Xminus,-57.500657865043706,-58.413774912856354,0.9131170478126478
123,SP_Xminus,-57.4998345288852,-58.41295858681127,0.9131240579260691
124,SP_Xminus,-59.144317261111354,-60.07325302180976,0.9289357606984083
125,SP_Xminus,-59.14421495798692,-60.07315792823056,0.9289429702436394
