,0,1,label
1,-93.31823698650328,-47.31234662770129,PCBbat_Zminus
2,-93.33828025176427,-47.35460891986875,PCBbat_Zminus
3,-93.3398462308379,-47.35716514462891,PCBbat_Zminus
4,-93.35628307270798,-47.354183728240116,PCBbat_Zminus
5,-93.381591633087,-47.43227050585449,PCBbat_Zminus
6,-93.37852335981049,-47.42460076546868,PCBbat_Zminus
7,-93.35795895852058,-47.354598766163804,PCBbat_Zminus
8,-93.32015375243375,-47.31544826021974,PCBbat_Zminus
9,-98.39437682317615,-51.11079934187762,BottomPlate_lwr
10,-98.39401841900548,-51.112575551469746,BottomPlate_upr
11,-98.25487828827627,-51.078476306686156,BottomPlate_lwr
12,-98.25496925151117,-51.07862239566401,BottomPlate_upr
13,-98.08870001930237,-50.92094186830167,BottomPlate_lwr
14,-98.08961751271036,-50.92171812762351,BottomPlate_upr
15,-98.46285309565442,-51.474758077317546,BottomPlate_lwr
16,-98.46293660069963,-51.4748748361329,BottomPlate_upr
17,-98.29689819629186,-51.22529946127909,BottomPlate_lwr
18,-98.29699232984464,-51.225450983331314,BottomPlate_upr
19,-98.09747822771584,-50.911655990285624,BottomPlate_lwr
20,-98.09622924560739,-50.90934771705284,BottomPlate_upr
21,-98.71441275849187,-52.11666874813412,BottomPlate_lwr
22,-98.71138455437466,-52.10979200296103,BottomPlate_upr
23,-98.38981903777872,-51.4631020070382,BottomPlate_lwr
24,-98.3899028339481,-51.46323061246474,BottomPlate_upr
25,-98.17500948643428,-51.073931251788565,BottomPlate_lwr
26,-98.17572903597886,-51.075122201616125,BottomPlate_upr
27,-94.11652933952996,-50.6971239785002,Battery
28,-53.540911877556795,-25.123989381310878,Battery
29,-83.772953862034,-43.904835308059404,Battery
30,-75.47183944781546,-38.27789994053714,Battery
31,-69.512778901942,-36.03435395618888,Battery
32,-93.379394003605,-47.427229426448804,Battery
33,-99.19123884029543,-52.668694995486476,PCBbat_Zplus
34,-99.08789079794863,-52.56431869814949,PCBbat_Zplus
35,-98.88257616711252,-52.22910327945962,PCBbat_Zplus
36,-98.92963137485324,-52.27833672182135,PCBbat_Zplus
37,-99.12027270507215,-52.38353774995235,PCBbat_Zplus
38,-99.0800910292287,-52.342892003740644,PCBbat_Zplus
39,-99.40591735495127,-53.20726640826217,PCBbat_Zplus
40,-99.33516827767406,-53.13604915857786,PCBbat_Zplus
41,-99.32735915836818,-52.505945929590524,PCBbat_Zplus
42,-99.36665862371808,-52.54470480513314,PCBbat_Zplus
43,-99.53861437221468,-53.19113119149242,PCBbat_Zplus
44,-99.49500075053183,-53.14709769456647,PCBbat_Zplus
45,-99.71311278819616,-53.83673835166957,PCBbat_Zplus
46,-99.76948063676605,-53.896731927973576,PCBbat_Zplus
47,-99.01299021094707,-52.425963459578185,PCBbat_Zplus
48,-98.95016280911702,-52.36269753301954,PCBbat_Zplus
49,-99.26657164933232,-53.06292222120382,RW_Z
50,-99.26717728226004,-53.06353429420497,RW_Z
51,-99.26904412795588,-53.06559635883406,RW_Z
52,-99.26680533939484,-53.06315900031905,RW_Z
53,-99.26683805717008,-53.06306971120475,RW_Z
54,-99.26741316015884,-53.06377761994932,RW_Z
55,-91.3715734841696,-45.724263511561816,PCB
56,-91.06091761549288,-45.456739242478534,PCB
57,-91.27459527433822,-45.573870147102326,PCB
58,-91.1222304401613,-45.59475899242068,PCB
59,-90.96172540500984,-45.400188232284336,PCB
60,-91.02589786659459,-45.40080334717692,PCB
61,-91.42550007442554,-45.90086575173311,PCB
62,-91.08860612605403,-45.544017137276256,PCB
63,-91.2954972939066,-45.62838513285419,PCB
64,-87.16715696628276,-42.131797503354534,PCB
65,-86.88647335549544,-41.8884013456568,PCB
66,-87.14178960401682,-42.08162063609615,PCB
67,-86.89969061518272,-41.92277326463156,PCB
68,-86.7794340780996,-41.806410679688526,PCB
69,-86.87932235915966,-41.87673098614144,PCB
70,-87.17631772423738,-42.16741487895749,PCB
71,-86.89201413158489,-41.91034720764182,PCB
72,-87.1471777112946,-42.101854511885875,PCB
73,-85.86220268375084,-40.874371754908054,PCB
74,-85.58507945630217,-40.636087103739555,PCB
75,-85.8472229513977,-40.84653417158552,PCB
76,-85.5892759380099,-40.64938622346298,PCB
