,0,T_ref,T_res
42,AdditionalPCB,83.15697803200031,86.94695260518989
43,AdditionalPCB,83.08037183826553,86.86786651196996
44,AdditionalPCB,83.05057241805241,86.83395258805314
45,AdditionalPCB,83.11393849525643,86.90273775762984
46,AdditionalPCB,83.05217133440134,86.83870160681471
47,AdditionalPCB,82.95311992880949,86.73393424784433
48,AdditionalPCB,83.11659736811124,86.90493711678118
49,AdditionalPCB,83.04166634433358,86.82769815108924
50,AdditionalPCB,82.9917209488533,86.77331869622572
51,TetherPCB,82.09206032500157,85.83954477111956
52,TetherPCB,82.08658526134087,85.83385058596832
53,TetherPCB,82.08826801403774,85.83559528824918
54,TetherPCB,82.08680781277457,85.83408235431125
55,TetherPCB,82.08666093925405,85.83392955740703
56,TetherPCB,82.0866299900432,85.8338971747271
57,TetherPCB,82.09042084462044,85.83783957223187
58,TetherPCB,82.08664798430728,85.83391595435887
59,TetherPCB,82.08787842088316,85.83519284345931
60,obc,86.1767922366962,89.81885198094812
61,obc,85.92023138838789,89.54234439386943
62,obc,85.81093102536079,89.42915039374583
63,obc,86.09599363182105,89.72869931554754
64,obc,86.03171923913834,89.65484455197264
65,obc,85.79809779091613,89.4111912003824
66,obc,86.17442567377014,89.81631950946661
67,obc,86.07373305848448,89.70089073109358
68,obc,85.90682476694981,89.52953927304577
69,Box:outer,95.481069916636,99.92909207713961
70,Box:outer,95.77299477843786,100.13852071025968
71,Box:outer,95.88677510921423,100.18733169709873
72,Box:outer,95.81426569582057,100.07136704470969
73,Box:outer,94.2813407646852,98.69261677809084
74,Box:outer,94.37760305378164,98.7201145057872
75,Box:outer,94.4457584720767,98.73412997253519
76,Box:outer,94.47707638613278,98.72793047475392
77,Box:outer,93.30521207701048,97.68268435290031
78,Box:outer,93.3375291719454,97.6582875135357
79,Box:outer,93.36948465531964,97.64460911666345
80,Box:outer,93.39090196952871,97.63333038033431
81,Box:outer,92.61920697580628,96.96728664863485
82,Box:outer,92.62012919460665,96.92373913746286
83,Box:outer,92.62668039183632,96.89102086665247
84,Box:outer,92.62896908953579,96.86368791837265
85,Box:outer,97.03695811461701,101.5700620849392
86,Box:outer,98.08239839783369,102.4830156545313
87,Box:outer,98.27994785424583,102.5876935501123
88,Box:outer,97.63759286300638,101.89482078342888
89,Box:outer,97.8140596085322,102.29174155166965
90,Box:outer,98.86439831814522,103.24848217619308
91,Box:outer,99.04529308211836,103.3526876956422
92,Box:outer,98.35023267226507,102.60883648181584
93,Box:outer,97.75568839820522,102.22992318319393
94,Box:outer,98.77051396132113,103.15134516207496
95,Box:outer,98.9440715672634,103.25073825417235
96,Box:outer,98.27365580330722,102.53270269746804
97,Box:outer,96.8748573693304,101.39671845788257
98,Box:outer,97.76591635991787,102.15395016707055
99,Box:outer,97.93672881643072,102.24391206417852
100,Box:outer,97.43522545044948,101.69495129932744
101,Box:outer,96.16222980284334,100.40179372880476
