,0,T_ref,T_res,T_res2
49,Panel_outer:solar_cells,69.63039116135246,34.059960231253456,-96.13845829678817
50,Panel_outer:back,69.629157664035,34.036474017038984,-96.14141573059453
51,Panel_outer:solar_cells,69.74672907146443,33.97008636999891,-96.48120488215963
52,Panel_outer:back,69.74551904354803,33.946653410509384,-96.48415588067331
53,Panel_outer:solar_cells,69.98098921069919,33.74491473373695,-97.13938142065092
54,Panel_outer:back,69.97982739304865,33.721605934065224,-97.14231796812254
55,Panel_outer:solar_cells,70.28145204612235,33.389270689773866,-97.92766287577533
56,Panel_outer:back,70.28035099332665,33.366146979142854,-97.93057669208383
57,Panel_outer:solar_cells,69.63695724699068,34.04475130436049,-96.15710246677978
58,Panel_outer:back,69.63572449256992,34.02124878006816,-96.16006168301092
59,Panel_outer:solar_cells,69.77096674839981,33.92802025617743,-96.54326490454102
60,Panel_outer:back,69.76976120559533,33.90458310367802,-96.54621629716559
61,Panel_outer:solar_cells,70.08625701201441,33.56886448257677,-97.394918284992
62,Panel_outer:back,70.08511445211208,33.54554512562288,-97.39785404968927
63,Panel_outer:solar_cells,70.74250468874885,32.59910542835013,-99.00195529911196
64,Panel_outer:back,70.73987524175602,32.57877035174147,-99.00129239588557
65,Prop,105.28614588554449,50.31589313854272,-10.14997657102225
66,Prop,105.6026015739209,51.51327049270617,-10.149320829745704
67,Prop,105.15544927133499,50.875886434835536,-10.149976585694503
68,Prop,105.62956624415109,51.382627595789074,-10.006225809685361
69,Prop,105.7177609427862,53.772021546163955,-10.088861604973204
70,Prop,105.4531939716209,53.51810513068483,-9.979468884218477
71,Prop,105.2273138555012,50.47855907181241,-10.14997661383893
72,Prop,105.5532398010957,52.2209353172791,-10.129100619842177
73,Prop,105.08232881318371,50.98497595314723,-10.149976396202021
74,AdditionalPCB,104.37282580620008,49.45572278210068,-10.39483984954029
75,AdditionalPCB,104.2958151469828,49.55465000644722,-10.423547020573437
76,AdditionalPCB,104.2576239567977,49.65683381238483,-10.411835063096817
77,AdditionalPCB,104.33781129415979,49.51558826038473,-10.412532901307031
78,AdditionalPCB,104.2761961844238,49.60151198366458,-10.42996894800325
79,AdditionalPCB,104.16294157413022,49.61599337266989,-10.451097263298777
80,AdditionalPCB,104.34722948473791,49.51419152111066,-10.396332595203887
81,AdditionalPCB,104.2776266542679,49.583252789035555,-10.427394123400859
82,AdditionalPCB,104.2290391914933,49.69023651597769,-10.416340795562178
83,TetherPCB,103.31450895382771,48.37173715851475,-10.64667202240122
84,TetherPCB,103.30917316439171,48.36739451205369,-10.64834040082144
85,TetherPCB,103.31081111797779,48.369626718606526,-10.647826082135225
86,TetherPCB,103.30936542363831,48.36699408202952,-10.648232594853084
87,TetherPCB,103.30928937273809,48.36760337888302,-10.648310691819006
88,TetherPCB,103.309256368487,48.36756856750844,-10.648330686322993
89,TetherPCB,103.31303192820428,48.37084789708803,-10.647157278667976
90,TetherPCB,103.30928014066441,48.36756035098233,-10.648325347833804
91,TetherPCB,103.31054814580999,48.369320626909484,-10.647931480548152
92,obc,106.1861798846845,44.85000680263437,0.5702271337991078
93,obc,105.9157426105163,44.820286969626466,0.7625837475392814
94,obc,105.78196873566608,44.50119542840474,0.4335143357896527
95,obc,106.13331174692459,44.82591269055132,0.5813432876383899
96,obc,106.0502409338732,44.85000689891638,0.7918516742939232
97,obc,105.7912573147861,44.557024635972425,0.5492746851954848
98,obc,106.24663787727579,44.37540206493708,-0.14997266789447394
99,obc,106.13261374327499,44.61828196859585,0.42054942032791587
100,obc,105.98143183902121,44.12926814628332,-0.14997179827525997
101,Box:outer,115.13941646449172,-28.638732784225823,-122.01375186813235
102,Box:inner,115.1397057587212,-28.63809874339114,-122.01387384665148
103,Box:outer,115.7132352337497,-31.554043849135297,-122.21096458468847
104,Box:inner,115.7133413719038,-31.553317853650128,-122.21084872558703
105,Box:outer,116.0748598313039,-33.89520355640008,-122.34139187457856
106,Box:inner,116.0749673937138,-33.894503971771314,-122.34127796033681
107,Box:outer,116.1913371377845,-35.34668726597431,-122.38315646416359
108,Box:inner,116.191657489135,-35.34618876030976,-122.38332735975735
109,Box:outer,114.43249291762599,-32.69256546273155,-122.26693898261428
110,Box:inner,114.4325949030506,-32.69185202424438,-122.26682371856117
111,Box:outer,114.7763920062611,-33.99053454734562,-122.35257339489107
112,Box:inner,114.77649525042071,-33.98983461719459,-122.35245811339496
113,Box:outer,115.0483459056497,-35.35378099170043,-122.43191433258534
114,Box:inner,115.0484503738717,-35.35309623107844,-122.43179990779748
115,Box:outer,115.2235603769203,-36.369740096449334,-122.48349268150659
116,Box:inner,115.2236642496698,-36.36906803211946,-122.4833802186917
117,Box:outer,113.75458840387958,-35.16953045932357,-122.38145299744633
118,Box:inner,113.7546874212356,-35.16884474693396,-122.38133965342871
119,Box:outer,114.00462940809558,-35.87274688504124,-122.44544687858132
120,Box:inner,114.00472936169491,-35.87206779631927,-122.44533270894823
121,Box:outer,114.2136138505397,-36.692208510944056,-122.49605650937366
122,Box:inner,114.2137149408491,-36.691538160590625,-122.49594265793289
123,Box:outer,114.36257034013191,-37.36750491246542,-122.51947039720613
124,Box:inner,114.36267163951929,-37.366843723635185,-122.51935833817043
125,Box:outer,113.18139549095241,-36.60732320495302,-122.3506013178224
126,Box:inner,113.1816344124373,-36.607123264446045,-122.35119788788128
127,Box:outer,113.3624922958175,-37.1643750246657,-122.49720855431639
128,Box:inner,113.3625896968865,-37.16371085064452,-122.49709603717614
129,Box:outer,113.5287824977387,-37.713719795018704,-122.53353030307764
130,Box:inner,113.5288812396383,-37.71306176676549,-122.53341851284074
131,Box:outer,113.6538847999985,-38.09195040728898,-122.45061522386024
132,Box:inner,113.65414284903429,-38.09176976226766,-122.45120600637651
133,Box:outer,115.7890353430053,-32.34884766615653,-121.70657450772043
134,Box:inner,115.7900980909217,-32.35556869351103,-121.70840627938404
135,Box:outer,117.1929668812637,-34.058091648828025,-122.11049668277846
136,Box:inner,117.19122977580591,-34.05775982537631,-122.11042211299636
137,Box:outer,117.76127799482842,-35.49313732316446,-122.34692238805047
138,Box:inner,117.7595415194724,-35.492816639291846,-122.34684735126598
139,Box:outer,117.52628349198669,-36.5986521481386,-122.48396806555607
140,Box:inner,117.5245462918068,-36.598344287914045,-122.48389383087715
141,Box:outer,116.7268783630673,-32.09617264767613,-122.03504455161743
142,Box:inner,116.7251371637567,-32.09582088124549,-122.03496932515446
143,Box:outer,117.8567186543138,-33.07903932598103,-122.16580533688739
144,Box:inner,117.85497724480258,-33.07869514539462,-122.16572969080352
145,Box:outer,118.31756135873378,-34.52262708948183,-122.32476208246979
146,Box:inner,118.31582139057458,-34.52229891847091,-122.32468692879388
147,Box:outer,118.037805524718,-35.82789897241062,-122.45331867089575
148,Box:inner,118.03606503762421,-35.82758605136749,-122.45324453272525
149,Box:outer,116.701390109862,-29.2015987164267,-122.01763067937796
150,Box:inner,116.6996489099085,-29.201195472166262,-122.01755452804625
151,Box:outer,117.8027236859063,-31.28725862736107,-122.1503149010799
152,Box:inner,117.8009822239456,-31.286894851931606,-122.15023816218013
