,0,T_ref,T_res
1,SolarArrays,-6.271958927669175,-4.822819487909271
2,SolarArrays,11.90650099825007,12.393565496563554
3,SolarArrays,22.463472714534987,22.544108567723868
4,SolarArrays,29.15536270225908,29.00742360694477
5,SolarArrays,-4.960390093244031,-4.86595261258492
6,SolarArrays,12.215310255536739,12.404115253481336
7,SolarArrays,22.16141723128425,22.191715799357723
8,SolarArrays,27.24908581251475,27.150825452571212
9,SolarArrays,-4.194659377663982,-4.03608765861452
10,SolarArrays,12.38336089496056,12.595643781663966
11,SolarArrays,22.202590794649378,22.241373400829843
12,SolarArrays,27.25968777794441,27.164427770938744
13,SolarArrays,-6.042457151090161,-4.462061065088733
14,SolarArrays,12.058245747308211,12.597938627798953
15,SolarArrays,22.53976245079821,22.640862853810233
16,SolarArrays,29.179104512869,29.03736123375728
17,SolarArrays,35.04394879854129,34.682380429599505
18,SolarArrays,34.330992119436466,33.999752904150455
19,SolarArrays,33.07721689883556,32.79419508602314
20,SolarArrays,30.390359807228826,30.201169540912247
21,SolarArrays,34.8809263811292,34.527640299689324
22,SolarArrays,34.39479607848767,34.06251825048827
23,SolarArrays,33.502638278143195,33.205705077133416
24,SolarArrays,32.355982651048286,32.10261976041534
25,SolarArrays,34.8780314365597,34.52477959586827
26,SolarArrays,34.389695763038155,34.05751749563882
27,SolarArrays,33.50608513036315,33.209684832463324
28,SolarArrays,32.35845507516859,32.10632357488214
29,SolarArrays,35.03268539683097,34.671303284366104
30,SolarArrays,34.330502262221444,33.999765369371914
31,SolarArrays,33.07405540977282,32.79237323526678
32,SolarArrays,30.40519907598463,30.220671146378322
33,Prop,9.829947180323645,9.602806068930931
34,Prop,9.072535834513305,8.847988229154623
35,Prop,9.735937379219537,9.508021586945574
36,Prop,10.17929869266106,9.951990074676814
37,Prop,9.827856157018061,9.601451938708578
38,Prop,10.00130023238523,9.773265114371554
39,Prop,9.794860558947962,9.566930300684817
40,Prop,8.964776374855774,8.739483331769748
41,Prop,9.434995189030076,9.205433977327118
42,AdditionalPCB,9.505951535160591,9.276444816949947
43,AdditionalPCB,9.44119628217993,9.211683587963478
44,AdditionalPCB,9.438338663911397,9.209205219732098
45,AdditionalPCB,9.472193945935146,9.242617077357352
46,AdditionalPCB,9.415386320859511,9.185749318432158
47,AdditionalPCB,9.357411723609573,9.127866350314832
48,AdditionalPCB,9.485412734015881,9.256222779921245
49,AdditionalPCB,9.394085743586912,9.164473976413944
50,AdditionalPCB,9.317391416329258,9.087658319982381
51,TetherPCB,9.167114990948676,8.937108691220033
52,TetherPCB,9.16509783421668,8.935090991146296
53,TetherPCB,9.165562143849344,8.935557008694389
54,TetherPCB,9.165366001170412,8.9353578864675
55,TetherPCB,9.165100772257233,8.935094148131554
56,TetherPCB,9.165082372010259,8.935075776023098
57,TetherPCB,9.166472024720123,8.936466939852039
58,TetherPCB,9.165092943229071,8.935086347335073
59,TetherPCB,9.165289167646108,8.93528294892883
60,obc,21.2034550371402,20.981305436125922
61,obc,21.218156580025102,20.9962557966046
62,obc,21.102899381117986,20.88120559484298
63,obc,21.287646031876193,21.065677438196417
64,obc,21.37322967248241,21.151401178099263
65,obc,21.25538185378645,21.033842878391624
66,obc,21.28088530155435,21.058962434842726
67,obc,21.38302919682673,21.161256239528768
68,obc,21.26041735111824,21.03887393194418
69,SideX,-15.30373339506855,-15.697118759148395
70,SideX,-14.80963770968287,-15.186312982112895
71,SideX,-13.708692409295681,-14.070071330131213
72,SideX,-12.0646846195545,-12.413763186769813
73,SideX,-15.433562047820661,-15.82806935086262
74,SideX,-14.84293181940387,-15.219434653772737
75,SideX,-13.60525739156481,-13.965541488026759
76,SideX,-11.54823482060857,-11.894646621808363
77,SideX,-15.410298695448999,-15.805013056809457
78,SideX,-14.835092698834222,-15.213606508776365
79,SideX,-13.64510742609173,-14.007905755543106
80,SideX,-11.6395022698174,-11.987544585285661
81,SideX,-15.25597850465448,-15.650499445157038
82,SideX,-14.79974776488297,-15.179098591284685
83,SideX,-13.76837826164899,-14.13300367735377
84,SideX,-12.24475412998675,-12.59768390292004
85,SideX_,-11.046601976049152,-11.354601644357786
86,SideX_,-12.009950496549662,-12.317406967717545
87,SideX_,-12.29925160734382,-12.609232998220364
88,SideX_,-11.88349106941047,-12.19320831324302
89,SideX_,-10.760704870560858,-11.059079782049139
90,SideX_,-11.718651074396009,-12.005933087310837
91,SideX_,-11.89197646298919,-12.162085297388899
92,SideX_,-11.27989392002303,-11.514219998480144
93,SideX_,-10.82828759563807,-11.127265668195037
94,SideX_,-11.75707407498118,-12.043981065553737
95,SideX_,-11.887599986716909,-12.155131633190479
96,SideX_,-11.15379477808676,-11.38001168307602
97,SideX_,-11.25237070430614,-11.562638056789751
98,SideX_,-12.1418276425,-12.449490094344299
99,SideX_,-12.375016330441609,-12.681208394382566
100,SideX_,-11.88316671807576,-12.18047386784167
101,SideY_,-12.02355130321286,-12.69303846452209
102,SideY_,-13.47750456938456,-13.973057133442353
103,SideY_,-14.564236035428788,-14.998322726209096
104,SideY_,-15.13784381393049,-15.546555328723343
105,SideY_,-11.669083796376869,-12.013066516686706
106,SideY_,-13.325207827422052,-13.736481976712014
107,SideY_,-14.46505778804755,-14.880016137573705
108,SideY_,-15.137921730518539,-15.544749831020226
109,SideY_,-11.52256304378608,-11.855464218522286
110,SideY_,-13.29578025499399,-13.703007625018131
111,SideY_,-14.44387914214673,-14.857392023703994
112,SideY_,-15.11731759457848,-15.524223932547784
113,SideY_,-12.008489159206992,-12.678948180766724
114,SideY_,-13.521436382519429,-14.010155757076348
115,SideY_,-14.51081822024787,-14.941709092762494
116,SideY_,-15.081552775935108,-15.490363531754554
117,SideY,-10.243987711352359,-10.586798163805497
118,SideY,-9.279657287336363,-9.612571046791857
119,SideY,-9.041559246157476,-9.364121612897975
120,SideY,-9.61188565916865,-9.926138716528953
121,SideY,-9.48802785881611,-9.828879701351127
122,SideY,-8.425536461538629,-8.755811057676453
123,SideY,-8.236819670532839,-8.556741130477292
124,SideY,-8.957149391807151,-9.26690863014909
125,SideY,-9.578454041105774,-9.921046584651776
126,SideY,-8.542108918773067,-8.874046182147708
127,SideY,-8.357721540025183,-8.6791988145024
128,SideY,-9.048226116558908,-9.359089544758774
129,SideY,-10.49044938914705,-10.838003841907607
130,SideY,-9.658269022862557,-9.996075053233142
131,SideY,-9.448264256932019,-9.77592400656232
132,SideY,-9.879360237161848,-10.19699133290095
133,SideZ,-12.29512466080115,-12.649872109094872
134,SideZ,-11.97952127180866,-12.326862383550747
135,SideZ,-11.72031397057833,-12.05803590051488
136,SideZ,-11.57196420796771,-11.897106491958766
137,SideZ,-13.702345420400428,-14.070333822067312
138,SideZ,-13.429341671304769,-13.791529448072879
139,SideZ,-13.064445547134431,-13.41816674319358
140,SideZ,-12.65309657487256,-12.990388820988244
141,SideZ,-14.6258956190859,-15.010264766939827
142,SideZ,-14.27300654331589,-14.65631281029357
143,SideZ,-13.751895946913919,-14.133205825840946
144,SideZ,-13.10546305131055,-13.470419538343947
145,SideZ,-15.05200404975636,-15.451725576646197
146,SideZ,-14.59798223781632,-15.007108467189255
147,SideZ,-13.87114601486292,-14.298460400089084
148,SideZ,-12.908623603059599,-13.345700947307478
149,SideZ_,-15.15393427941768,-15.55210868453372
150,SideZ_,-14.8159171072586,-15.227693271921169
151,SideZ_,-13.582058401500941,-14.027149020434592
152,SideZ_,-12.777863115743001,-13.222336610797413
153,SideZ_,-14.67010027337471,-15.049718854222249
154,SideZ_,-14.34619183203228,-14.721918277793065
155,SideZ_,-13.478631001775739,-13.850528564576962
156,SideZ_,-12.92657244273761,-13.291086400692677
157,SideZ_,-13.673528381913119,-14.03722712534261
158,SideZ_,-13.648255197140028,-14.009474876173499
159,SideZ_,-12.94156680594125,-13.290402586850519
160,SideZ_,-12.4473154248119,-12.781704590615789
161,SideZ_,-11.96592058092091,-12.314937601274266
162,SideZ_,-11.3554355716642,-11.696364372306789
163,SideZ_,-10.960949434404311,-11.288246562574557
164,SideZ_,-11.21557449095417,-11.535803475939645
165,reel_box,8.96616661777233,8.73323094276401
166,reel_box,5.994479722551433,5.761831817037546
167,reel_box,-3.6973779409441936,-3.917147024693918
168,reel_box,6.848431299097854,6.614674843400564
169,reel_box,9.387079660303982,9.151343917550093
170,reel_box,9.165092630493804,8.935086365809127
171,reel,8.960434226393376,8.73074499235912
172,thruster,9.068691612066287,8.844153827276443
173,thruster,8.97121640712703,8.746932111377816
174,thruster,8.971342429324352,8.747057985453125
175,thruster,8.971761523772784,8.74747840443382
176,thruster,8.971763059431852,8.747478142256625
177,thruster,8.874282503705102,8.650276543313055
178,thruster,8.96130998053377,8.736025923391765
179,thruster,8.864761467619644,8.639734541496125
180,thruster,8.864221037173708,8.639192641002978
181,thruster,8.86412708234343,8.639099291142372
182,thruster,8.864717731431085,8.639689899694588
183,thruster,8.767365848565477,8.542617062143165
184,SolarArrays,35.55635722585839,35.167504484540586
185,SolarArrays,35.520426691851405,35.13406573945315
186,SolarArrays,35.41389471680952,35.033577185078514
187,SolarArrays,35.16371775038374,34.79629130925787
188,SolarArrays,35.55726174846178,35.16795918943728
189,SolarArrays,35.52634775672612,35.139361722897604
190,SolarArrays,35.456034339452344,35.07355168495906
191,SolarArrays,35.35346876497715,34.976822430263326
192,SolarArrays,35.558034695861004,35.16856822240641
193,SolarArrays,35.52528918357001,35.13802486956337
194,SolarArrays,35.45172776314075,35.069095464289035
195,SolarArrays,35.3478236732405,34.97096194215237
196,SolarArrays,35.558703568760215,35.16928334710519
197,SolarArrays,35.51807061540296,35.131284258866344
198,SolarArrays,35.412050421490726,35.03135836738045
199,SolarArrays,35.164753850749605,34.796964177732264
