***************************************************************************
MODEL NAME = MAT_v2_8
report produced by REPORT_RADIATIVE_MODEL procedure at 19:24 Sun 7 Jun 2020
***************************************************************************
-------------------------------------------------------------------------------------------------------------------------
Model Name = MAT_v2_8                                                                                                     
-------------------------------------------------------------------------------------------------------------------------
FACE | SUBMODEL | NODE | CRIT | PRIMITIVE NAME             | FACE LABEL        | TYPE |  INFRA-RED/SOLAR    | FACE AREA  
     |          |      |      |                            |                   |      | EPSI RHOD RHOS TAU  |            
     |          |      |      |                            |                   |      | ALPH RHOD RHOS TAU  |            
-------------------------------------------------------------------------------------------------------------------------
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
37   |          | 19   | N    | Battery4                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
39   |          | 20   | N    | Battery4                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
41   |          | 21   | N    | Battery4                   | Battery           | BOX  | .020 .980 .000 .000 | 1.0290E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
43   |          | 22   | N    | Battery4                   | Battery           | BOX  | .020 .980 .000 .000 | 7.1400E-004
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
45   |          | 23   | N    | Battery4                   | Battery           | BOX  | .020 .980 .000 .000 | 1.6660E-003
     |          |      |      |                            |                   |      | .320 .680 .000 .000 |            
47   |          | 24   | N    | PCB_bat_Zplus:Rectangle_1  | PCBbat_Zplus      | RECT | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
48   |          | 25   | N    | PCB_bat_Zplus:Rectangle_1  | PCBbat_Zplus      | RECT | .890 .110 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
49   |          | 26   | N    | PCB_bat_Zplus:SHELL_1      | PCBbat_Zplus      | QUAD | .890 .110 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
50   |          | 27   | N    | PCB_bat_Zplus:SHELL_1      | PCBbat_Zplus      | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
51   |          | 28   | N    | PCB_bat_Zplus:SHELL_2      | PCBbat_Zplus      | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
52   |          | 29   | N    | PCB_bat_Zplus:SHELL_2      | PCBbat_Zplus      | RECT | .890 .110 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
53   |          | 30   | N    | PCB_bat_Zplus:SHELL_3      | PCBbat_Zplus      | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
54   |          | 31   | N    | PCB_bat_Zplus:SHELL_3      | PCBbat_Zplus      | RECT | .890 .110 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
55   |          | 32   | N    | PCB_bat_Zplus:SHELL_4      | PCBbat_Zplus      | QUAD | .890 .110 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
56   |          | 33   | N    | PCB_bat_Zplus:SHELL_4      | PCBbat_Zplus      | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
57   |          | 34   | N    | PCB_bat_Zplus:SHELL_5      | PCBbat_Zplus      | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
58   |          | 35   | N    | PCB_bat_Zplus:SHELL_5      | PCBbat_Zplus      | RECT | .890 .110 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
59   |          | 36   | N    | PCB_bat_Zplus:SHELL_6      | PCBbat_Zplus      | QUAD | .890 .110 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
60   |          | 37   | N    | PCB_bat_Zplus:SHELL_6      | PCBbat_Zplus      | QUAD | .040 .960 .000 .000 | 1.1223E-003
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
61   |          | 38   | N    | PCB_bat_Zplus:SHELL_7      | PCBbat_Zplus      | RECT | .040 .960 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
62   |          | 39   | N    | PCB_bat_Zplus:SHELL_7      | PCBbat_Zplus      | RECT | .890 .110 .000 .000 | 9.3800E-004
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
63   |          | 40   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 3.7500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
65   |          | 41   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 3.7500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
67   |          | 42   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 6.2500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
69   |          | 43   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 3.7500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
71   |          | 44   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 6.2500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
73   |          | 45   | N    | RW_Z                       |                   | BOX  | .040 .960 .000 .000 | 3.7500E-004
     |          |      |      |                            |                   |      | .260 .740 .000 .000 |            
75   |          | 46   | N    | PCB0                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
76   |          | 46   | N    | PCB0                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
77   |          | 47   | N    | PCB0                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
78   |          | 47   | N    | PCB0                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
79   |          | 48   | N    | PCB0                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
80   |          | 48   | N    | PCB0                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
81   |          | 49   | N    | PCB0                       | PCB               | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
82   |          | 49   | N    | PCB0                       |                   | RECT | .890 .110 .000 .000 | 1.0240E-003
     |          |      |      |                            |                   |      | .720 .280 .000 .000 |            
