------------------------------
Group: RemoteUnit 'Full Model'
------------------------------
'<output>'                     wrt '<variable>'                   | calc mag.  | check mag. | a(cal-chk) | r(cal-chk)
'equal.power_bal'              wrt 'params.Hinge_outer_1'         | 3.9444e-03 | 3.9441e-03 | 3.1174e-07 | 7.9040e-05
'equal.power_bal'              wrt 'params.Hinge_outer_2'         | 3.9440e-03 | 3.9438e-03 | 2.4062e-07 | 6.1013e-05
'equal.power_bal'              wrt 'params.Panel_inner: back'     | 1.5691e-01 | 1.5691e-01 | 8.9253e-08 | 5.6880e-07
'equal.power_bal'              wrt 'params.Panel_outer:back'      | 2.1117e-01 | 2.1117e-01 | 6.1721e-08 | 2.9228e-07
'equal.power_bal'              wrt 'params.QI'                    | 6.1969e+00 | 6.1969e+00 | 8.7148e-07 | 1.4063e-07
'equal.power_bal'              wrt 'params.Spacer1_1'             | 9.3078e-06 | 9.5411e-06 | 2.3601e-07 | 2.4736e-02
'equal.power_bal'              wrt 'params.Spacer1_2'             | 6.8594e-06 | 6.9778e-06 | 2.1042e-07 | 3.0155e-02
'equal.power_bal'              wrt 'params.Spacer1_3'             | 6.5718e-06 | 6.6194e-06 | 1.4838e-07 | 2.2416e-02
'equal.power_bal'              wrt 'params.Spacer1_4'             | 8.0964e-06 | 8.0563e-06 | 1.1879e-07 | 1.4745e-02
'equal.power_bal'              wrt 'params.Spacer2_1'             | 1.8918e-08 | 1.8165e-07 | 1.6628e-07 | 9.1541e-01
'equal.power_bal'              wrt 'params.Spacer2_2'             | 1.6065e-08 | 2.2815e-07 | 2.1516e-07 | 9.4303e-01
'equal.power_bal'              wrt 'params.Spacer2_3'             | 1.4251e-08 | 2.2007e-07 | 2.0605e-07 | 9.3632e-01
'equal.power_bal'              wrt 'params.Spacer2_4'             | 1.6105e-08 | 1.6890e-07 | 1.5369e-07 | 9.0998e-01
'equal.power_bal'              wrt 'params.Spacer3_1'             | 1.9986e-08 | 1.0250e-07 | 9.1317e-08 | 8.9086e-01
'equal.power_bal'              wrt 'params.Spacer3_2'             | 1.7907e-08 | 2.9286e-08 | 4.6935e-08 | 1.6026e+00
'equal.power_bal'              wrt 'params.Spacer3_3'             | 1.2842e-08 | 2.2648e-07 | 2.1756e-07 | 9.6063e-01
'equal.power_bal'              wrt 'params.Spacer3_4'             | 1.4751e-08 | 2.1078e-07 | 1.9624e-07 | 9.3103e-01
'equal.power_bal'              wrt 'params.Spacer4_1'             | 7.6433e-08 | 2.6891e-07 | 1.9250e-07 | 7.1585e-01
'equal.power_bal'              wrt 'params.Spacer4_2'             | 7.4614e-08 | 1.9886e-07 | 1.3245e-07 | 6.6606e-01
'equal.power_bal'              wrt 'params.Spacer4_3'             | 6.3958e-08 | 2.1729e-07 | 1.5746e-07 | 7.2468e-01
'equal.power_bal'              wrt 'params.Spacer4_4'             | 6.1390e-08 | 2.5216e-07 | 2.0417e-07 | 8.0967e-01
'equal.power_bal'              wrt 'params.Spacer5_1'             | 6.8081e-06 | 7.0859e-06 | 2.9490e-07 | 4.1618e-02
'equal.power_bal'              wrt 'params.Spacer5_2'             | 4.8039e-06 | 4.9592e-06 | 1.6680e-07 | 3.3634e-02
'equal.power_bal'              wrt 'params.Spacer5_3'             | 4.6768e-06 | 4.6589e-06 | 6.5016e-08 | 1.3955e-02
'equal.power_bal'              wrt 'params.Spacer5_4'             | 6.0612e-06 | 6.1752e-06 | 1.1736e-07 | 1.9005e-02
'equal.power_bal'              wrt 'params.alp_r'                 | 1.4353e-02 | 1.4353e-02 | 1.6064e-06 | 1.1192e-04
'equal.power_bal'              wrt 'params.phi'                   | 2.0221e-03 | 2.0099e-03 | 1.2280e-05 | 6.1097e-03
'obc_pwr.KS'                   wrt 'params.Box:outer'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Hinge_inner_1'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Hinge_inner_2'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Hinge_outer_1'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Hinge_outer_2'         | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Panel_inner: back'     | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Panel_outer:back'      | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.QI'                    | 2.1213e+00 | 2.1213e+00 | 2.6517e-05 | 1.2500e-05
'obc_pwr.KS'                   wrt 'params.Spacer1_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer1_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer1_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer1_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer2_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer2_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer2_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer2_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer3_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer3_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer3_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer3_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer4_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer4_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer4_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer4_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer5_1'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer5_2'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer5_3'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.Spacer5_4'             | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.alp_r'                 | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'obc_pwr.KS'                   wrt 'params.phi'                   | 0.0000e+00 | 0.0000e+00 | 0.0000e+00 | nan
'prop_lwr.KS'                  wrt 'params.Box:outer'             | 7.0581e+02 | 7.0581e+02 | 8.2152e-03 | 1.1639e-05
'prop_lwr.KS'                  wrt 'params.Hinge_inner_1'         | 4.5591e+02 | 4.5588e+02 | 2.8289e-02 | 6.2053e-05
'prop_lwr.KS'                  wrt 'params.Hinge_inner_2'         | 4.4959e+02 | 4.4956e+02 | 2.6586e-02 | 5.9137e-05
'prop_lwr.KS'                  wrt 'params.Hinge_outer_1'         | 3.1510e+01 | 3.1507e+01 | 2.7017e-03 | 8.5748e-05
'prop_lwr.KS'                  wrt 'params.Hinge_outer_2'         | 3.1475e+01 | 3.1473e+01 | 1.5121e-03 | 4.8044e-05
'prop_lwr.KS'                  wrt 'params.Panel_inner: back'     | 3.5064e+01 | 3.5065e+01 | 1.4653e-03 | 4.1787e-05
'prop_lwr.KS'                  wrt 'params.Panel_outer:back'      | 1.4376e+01 | 1.4373e+01 | 2.6556e-03 | 1.8476e-04
'prop_lwr.KS'                  wrt 'params.QI'                    | 1.0177e+03 | 1.0177e+03 | 2.3404e-02 | 2.2997e-05
'prop_lwr.KS'                  wrt 'params.Spacer1_1'             | 9.1917e-01 | 9.1166e-01 | 7.5231e-03 | 8.2522e-03
'prop_lwr.KS'                  wrt 'params.Spacer1_2'             | 9.2434e-01 | 9.2394e-01 | 3.9967e-04 | 4.3257e-04
'prop_lwr.KS'                  wrt 'params.Spacer1_3'             | 9.1726e-01 | 9.1756e-01 | 3.0352e-04 | 3.3079e-04
'prop_lwr.KS'                  wrt 'params.Spacer1_4'             | 8.9980e-01 | 8.9436e-01 | 5.4372e-03 | 6.0794e-03
'prop_lwr.KS'                  wrt 'params.Spacer2_1'             | 1.1867e-03 | 2.7575e-03 | 3.3133e-03 | 1.2016e+00
'prop_lwr.KS'                  wrt 'params.Spacer2_2'             | 1.1701e-03 | 3.4882e-03 | 4.0702e-03 | 1.1668e+00
'prop_lwr.KS'                  wrt 'params.Spacer2_3'             | 1.1427e-03 | 1.8845e-03 | 9.6485e-04 | 5.1200e-01
'prop_lwr.KS'                  wrt 'params.Spacer2_4'             | 1.1673e-03 | 9.3705e-04 | 8.3939e-04 | 8.9578e-01
'prop_lwr.KS'                  wrt 'params.Spacer3_1'             | 9.6169e-04 | 3.1466e-03 | 3.8561e-03 | 1.2255e+00
'prop_lwr.KS'                  wrt 'params.Spacer3_2'             | 9.4010e-04 | 4.5577e-03 | 5.2661e-03 | 1.1554e+00
'prop_lwr.KS'                  wrt 'params.Spacer3_3'             | 8.5775e-04 | 4.8471e-03 | 5.4906e-03 | 1.1328e+00
'prop_lwr.KS'                  wrt 'params.Spacer3_4'             | 8.9171e-04 | 8.2809e-04 | 1.3269e-03 | 1.6024e+00
'prop_lwr.KS'                  wrt 'params.Spacer4_1'             | 1.3269e-03 | 2.1347e-03 | 3.4614e-03 | 1.6215e+00
